Year,Species,REGION NO. 57 - INDIAN OCEAN EAST - Andhra- Pradesh,REGION NO. 57 - INDIAN OCEAN EAST - Orissa,REGION NO. 57 - INDIAN OCEAN EAST - Tamil Nadu,REGION NO. 57 - INDIAN OCEAN EAST - West Bengal,REGION NO. 57 - INDIAN OCEAN EAST - Andaman & Nicobar,REGION NO. 57 - INDIAN OCEAN EAST - Pondi- cherry,REGION NO. 57 - INDIAN OCEAN EAST - Total,REGION NO. 51 - INDIAN OCEAN WEST - Gujarat,REGION NO. 51 - INDIAN OCEAN WEST - Karnataka,REGION NO. 51 - INDIAN OCEAN WEST - Kerala,REGION NO. 51 - INDIAN OCEAN WEST - Maharashtra,REGION NO. 51 - INDIAN OCEAN WEST - Goa,REGION NO. 51 - INDIAN OCEAN WEST - Lakshadweep,REGION NO. 51 - INDIAN OCEAN WEST - Daman & Diu,REGION NO. 51 - INDIAN OCEAN WEST - Total,Total for India,Sl. No.,REGION NO. 57 - INDIAN OCEAN EAST - A.P.,REGION NO. 57 - INDIAN OCEAN EAST - T.N.,REGION NO. 57 - INDIAN OCEAN EAST - W.B.,REGION NO. 57 - INDIAN OCEAN EAST - A & N Islands,REGION NO. 57 - INDIAN OCEAN EAST - Puducherry
2007,Hilsa Ilisha (Tenualosa),,3793.0,1595.0,16072.0,196.0,654.0,22310,3240.0,,,1148.0,,,913.0,5301,27611,,,,,,
2007,Flat Fish,2165.0,1840.0,2308.0,,10.0,,6323,8121.0,4565.0,,7110.0,1950.0,,116.0,21862,28185,,,,,,
2007,Bregmaceros,2541.0,,40.0,,,488.0,3069,0.0,,,424.0,,,,424,3493,,,,,,
2007,Harpodon Neherus,15.0,1168.0,38.0,32107.0,,140.0,33468,114370.0,,,70362.0,,,540.0,185272,218740,,,,,,
2007,Sea Catfishes,2144.0,10874.0,2666.0,30171.0,285.0,337.0,46477,37821.0,597.0,,13848.0,1821.0,,1296.0,55383,101860,,,,,,
2007,Lizard Fishes,7184.0,,1127.0,,7.0,751.0,9069,,4964.0,,2698.0,,,,7662,16731,,,,,,
2007,Muraenesox spp.. (Eels),1391.0,2212.0,555.0,98.0,,59.0,4315,7591.0,21.0,169.0,3358.0,,,195.0,11334,15649,,,,,,
2007,Lactarius (Parava),4198.0,,941.0,,56.0,423.0,5618,,2963.0,3576.0,2770.0,,,,9309,14927,,,,,,
2007,Leiognathus (Silver Bellies),2328.0,1868.0,39200.0,3650.0,2450.0,1486.0,50982,0.0,4781.0,5426.0,3584.0,1664.0,,149.0,15604,66586,,,,,,
2007,Sciaenidae (Croackers),2961.0,12792.0,10666.0,7239.0,834.0,380.0,34872,135947.0,2377.0,9636.0,21720.0,1938.0,,5745.0,177363,212235,,,,,,
