From the coast of,Direction,Bearing (deg),Distance (km) From-To,Depth (mtr) From-To,Latitude (dms),Longitude (dms),State,Forecast_Validity,Latitude_Decimal,Longitude_Decimal
Chapora,SW,259.0,30-35,47-52,15 32 12 N,73 26 46 E,Goa,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,15.536667,73.446111
Aguada,NW,271.0,22-27,36-41,15 29 45 N,73 33 3 E,Goa,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,15.495833,73.550833
Cutbona,SW,269.0,41-46,64-69,15 4 45 N,73 31 15 E,Goa,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,15.079167,73.520833
Karwar,SW,267.0,38-43,61-66,14 47 57 N,73 41 31 E,Karnataka,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,14.799167,73.691944
Malpe,SW,241.0,49-54,45-50,13 7 23 N,74 16 9 E,Karnataka,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,13.123056,74.269167
Manjeshwara,SW,253.0,21-26,36-41,12 39 5 N,74 41 4 E,Kerala,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,12.651389,74.684444
Kozhikode,SW,251.0,51-56,55-60,11 5 52 N,75 18 4 E,Kerala,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,11.097778,75.301111
Chetlat I,SW,236.0,24-29,1610-1615,11 33 39 N,72 31 2 E,Lakshadweep,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,11.560833,72.517222
Kavaratti I,SE,143.0,15-20,1685-1690,10 25 59 N,72 44 47 E,Lakshadweep,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,10.433056,72.746389
Malabar Port,NW,278.0,32-37,29-34,18 58 49 N,72 29 2 E,Maharashtra,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,18.980278,72.483889
Sindhudurg,SW,260.0,39-44,66-71,15 58 28 N,73 5 6 E,Maharashtra,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,15.974444,73.085
Visakhapatnam,SW,224.0,73-78,56-61,17 10 46 N,82 48 1 E,North Andhra Pradesh,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,17.179444,82.800278
Kakinada,SE,129.0,24-29,62-67,16 47 45 N,82 27 30 E,North Andhra Pradesh,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,16.795833,82.458333
Chennai,SE,101.0,21-26,82-87,13 4 51 N,80 30 26 E,North Tamil Nadu,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,13.080833,80.507222
Nagapattinam,NE,87.0,46-51,291-296,10 47 27 N,80 17 22 E,North Tamil Nadu,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,10.790833,80.289444
Dhamra,SE,131.0,29-34,9-14,20 36 48 N,87 6 41 E,Odisha,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,20.613333,87.111389
Gopalpur,SE,100.0,41-46,101-106,19 11 12 N,85 17 48 E,Odisha,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,19.186667,85.296667
Machilipatnam,SE,91.0,56-61,185-190,16 7 59 N,81 44 36 E,South Andhra Pradesh,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,16.133056,81.743333
Krishnapatnam,NE,78.0,30-35,1098-1103,14 19 57 N,80 24 48 E,South Andhra Pradesh,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,14.3325,80.413333
Digha,SE,171.0,42-47,3-8,21 15 34 N,87 46 11 E,West Bengal,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,21.259444,87.769722
Junput,SW,196.0,69-74,25-30,21 5 35 N,87 39 38 E,West Bengal,FORECAST VALIDITY FROM 27 Aug 2026 TO 28 Aug 2026,21.093056,87.623889

