Year,Month,State,Ocean_Region,SST_C,Chlorophyll_mg_m3,SST_anomaly_C,Chlorophyll_anomaly_mg_m3,Season
2007,1,Andaman & Nicobar,Andaman Sea / Bay of Bengal,27.9,0.257,0.43,0.01,Winter
2007,1,Andhra Pradesh,Bay of Bengal,26.34,0.715,0.06,-0.006,Winter
2007,1,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,24.43,1.185,0.09,0.182,Winter
2007,1,Goa,Arabian Sea,26.04,1.046,-0.17,0.141,Winter
2007,1,Gujarat,Arabian Sea / Gulf region,24.23,1.107,0.3,0.028,Winter
2007,1,Karnataka,Arabian Sea,26.05,0.998,0.01,0.142,Winter
2007,1,Kerala,Arabian Sea,26.54,1.182,0.06,0.182,Winter
2007,1,Lakshadweep,Arabian Sea / Lakshadweep Sea,27.51,0.221,0.47,-0.003,Winter
2007,1,Maharashtra,Arabian Sea,25.52,0.849,0.24,-0.084,Winter
2007,1,Odisha,Bay of Bengal,25.68,0.832,0.17,-0.008,Winter
2007,1,Puducherry,Bay of Bengal,26.85,0.702,-0.02,-0.05,Winter
2007,1,Tamil Nadu,Bay of Bengal,26.63,0.584,-0.04,-0.074,Winter
2007,1,West Bengal,Bay of Bengal,25.13,0.998,0.08,0.02,Winter
2007,2,Andaman & Nicobar,Andaman Sea / Bay of Bengal,28.01,0.295,0.13,0.036,Winter
2007,2,Andhra Pradesh,Bay of Bengal,26.88,0.649,-0.07,-0.024,Winter
2007,2,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,25.73,0.996,-0.0,0.028,Winter
2007,2,Goa,Arabian Sea,26.91,0.989,-0.12,0.054,Winter
2007,2,Gujarat,Arabian Sea / Gulf region,25.29,0.985,0.09,-0.052,Winter
2007,2,Karnataka,Arabian Sea,26.71,0.891,-0.03,-0.019,Winter
2007,2,Kerala,Arabian Sea,27.24,0.969,0.01,-0.013,Winter
2007,2,Lakshadweep,Arabian Sea / Lakshadweep Sea,27.74,0.33,0.21,0.077,Winter
2007,2,Maharashtra,Arabian Sea,26.44,0.897,0.09,-0.093,Winter
2007,2,Odisha,Bay of Bengal,26.73,0.749,0.29,-0.144,Winter
2007,2,Puducherry,Bay of Bengal,27.17,0.684,-0.3,0.043,Winter
2007,2,Tamil Nadu,Bay of Bengal,27.37,0.651,0.11,-0.019,Winter
2007,2,West Bengal,Bay of Bengal,26.34,1.068,0.43,0.13,Winter
2007,3,Andaman & Nicobar,Andaman Sea / Bay of Bengal,28.49,0.224,-0.02,0.007,Pre-monsoon
2007,3,Andhra Pradesh,Bay of Bengal,28.3,0.739,0.12,0.045,Pre-monsoon
2007,3,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,28.39,0.928,0.38,0.004,Pre-monsoon
2007,3,Goa,Arabian Sea,28.1,0.946,-0.06,-0.042,Pre-monsoon
2007,3,Gujarat,Arabian Sea / Gulf region,28.02,1.144,0.23,0.134,Pre-monsoon
2007,3,Karnataka,Arabian Sea,28.07,0.898,0.1,0.012,Pre-monsoon
2007,3,Kerala,Arabian Sea,27.9,1.127,-0.34,0.097,Pre-monsoon
2007,3,Lakshadweep,Arabian Sea / Lakshadweep Sea,28.14,0.12,0.02,-0.064,Pre-monsoon
2007,3,Maharashtra,Arabian Sea,27.98,0.924,-0.03,-0.019,Pre-monsoon
2007,3,Odisha,Bay of Bengal,28.18,0.716,0.3,-0.118,Pre-monsoon
2007,3,Puducherry,Bay of Bengal,28.41,0.652,-0.18,-0.115,Pre-monsoon
2007,3,Tamil Nadu,Bay of Bengal,28.59,0.685,0.12,0.001,Pre-monsoon
2007,3,West Bengal,Bay of Bengal,28.41,1.106,0.7,0.187,Pre-monsoon
2007,4,Andaman & Nicobar,Andaman Sea / Bay of Bengal,29.3,0.28,-0.0,0.044,Pre-monsoon
2007,4,Andhra Pradesh,Bay of Bengal,29.59,0.846,0.03,0.186,Pre-monsoon
2007,4,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,30.5,1.018,-0.06,0.119,Pre-monsoon
2007,4,Goa,Arabian Sea,29.69,0.969,0.09,0.005,Pre-monsoon
2007,4,Gujarat,Arabian Sea / Gulf region,30.8,0.892,0.23,-0.031,Pre-monsoon
2007,4,Karnataka,Arabian Sea,29.65,0.918,0.1,0.017,Pre-monsoon
2007,4,Kerala,Arabian Sea,29.56,1.089,-0.13,0.05,Pre-monsoon
2007,4,Lakshadweep,Arabian Sea / Lakshadweep Sea,29.29,0.191,0.34,0.005,Pre-monsoon
2007,4,Maharashtra,Arabian Sea,30.16,1.008,0.27,0.058,Pre-monsoon
2007,4,Odisha,Bay of Bengal,30.33,0.669,0.56,-0.117,Pre-monsoon
2007,4,Puducherry,Bay of Bengal,30.0,0.639,0.08,-0.113,Pre-monsoon
2007,4,Tamil Nadu,Bay of Bengal,29.87,0.676,0.1,0.087,Pre-monsoon
2007,4,West Bengal,Bay of Bengal,30.21,0.875,0.5,-0.036,Pre-monsoon
2007,5,Andaman & Nicobar,Andaman Sea / Bay of Bengal,29.81,0.115,0.26,-0.12,Pre-monsoon
2007,5,Andhra Pradesh,Bay of Bengal,30.52,0.972,0.12,0.18,Pre-monsoon
2007,5,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,32.05,1.091,0.1,0.026,Pre-monsoon
2007,5,Goa,Arabian Sea,30.67,0.96,0.2,-0.203,Pre-monsoon
2007,5,Gujarat,Arabian Sea / Gulf region,32.19,1.096,0.07,0.066,Pre-monsoon
2007,5,Karnataka,Arabian Sea,30.54,1.146,0.05,0.063,Pre-monsoon
2007,5,Kerala,Arabian Sea,30.18,1.375,-0.1,0.077,Pre-monsoon
2007,5,Lakshadweep,Arabian Sea / Lakshadweep Sea,29.7,0.226,0.1,0.049,Pre-monsoon
2007,5,Maharashtra,Arabian Sea,31.08,1.164,0.06,-0.036,Pre-monsoon
2007,5,Odisha,Bay of Bengal,31.04,0.964,0.39,0.011,Pre-monsoon
2007,5,Puducherry,Bay of Bengal,30.77,0.829,0.2,-0.006,Pre-monsoon
2007,5,Tamil Nadu,Bay of Bengal,30.54,0.696,-0.05,-0.089,Pre-monsoon
2007,5,West Bengal,Bay of Bengal,31.16,1.165,0.49,0.046,Pre-monsoon
2007,6,Andaman & Nicobar,Andaman Sea / Bay of Bengal,29.24,0.429,0.08,0.058,Southwest_Monsoon
2007,6,Andhra Pradesh,Bay of Bengal,29.38,1.081,-0.05,0.108,Southwest_Monsoon
2007,6,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,30.62,1.489,0.13,0.151,Southwest_Monsoon
2007,6,Goa,Arabian Sea,29.72,1.427,0.12,-0.094,Southwest_Monsoon
2007,6,Gujarat,Arabian Sea / Gulf region,30.81,1.481,0.3,0.117,Southwest_Monsoon
2007,6,Karnataka,Arabian Sea,29.86,1.516,0.35,0.082,Southwest_Monsoon
2007,6,Kerala,Arabian Sea,29.57,1.742,0.07,0.026,Southwest_Monsoon
2007,6,Lakshadweep,Arabian Sea / Lakshadweep Sea,29.34,0.266,0.24,0.028,Southwest_Monsoon
2007,6,Maharashtra,Arabian Sea,29.96,1.482,0.19,-0.074,Southwest_Monsoon
2007,6,Odisha,Bay of Bengal,30.02,1.132,0.43,-0.176,Southwest_Monsoon
2007,6,Puducherry,Bay of Bengal,29.93,1.169,0.1,0.024,Southwest_Monsoon
2007,6,Tamil Nadu,Bay of Bengal,29.98,0.981,0.2,-0.04,Southwest_Monsoon
2007,6,West Bengal,Bay of Bengal,29.78,1.433,0.25,-0.021,Southwest_Monsoon
2007,7,Andaman & Nicobar,Andaman Sea / Bay of Bengal,28.43,0.332,0.02,-0.071,Southwest_Monsoon
2007,7,Andhra Pradesh,Bay of Bengal,28.45,1.289,0.38,0.127,Southwest_Monsoon
2007,7,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,27.48,1.876,-0.16,0.142,Southwest_Monsoon
2007,7,Goa,Arabian Sea,28.32,1.608,0.2,-0.084,Southwest_Monsoon
2007,7,Gujarat,Arabian Sea / Gulf region,27.52,1.82,0.11,0.099,Southwest_Monsoon
2007,7,Karnataka,Arabian Sea,28.19,1.787,0.29,0.059,Southwest_Monsoon
2007,7,Kerala,Arabian Sea,27.72,2.07,-0.34,0.095,Southwest_Monsoon
2007,7,Lakshadweep,Arabian Sea / Lakshadweep Sea,28.22,0.411,0.13,0.039,Southwest_Monsoon
2007,7,Maharashtra,Arabian Sea,27.93,1.857,0.14,0.025,Southwest_Monsoon
2007,7,Odisha,Bay of Bengal,27.69,1.515,0.06,-0.033,Southwest_Monsoon
2007,7,Puducherry,Bay of Bengal,28.49,1.141,-0.02,-0.106,Southwest_Monsoon
2007,7,Tamil Nadu,Bay of Bengal,28.22,1.166,-0.03,-0.042,Southwest_Monsoon
2007,7,West Bengal,Bay of Bengal,28.01,1.831,0.52,0.039,Southwest_Monsoon
2007,8,Andaman & Nicobar,Andaman Sea / Bay of Bengal,27.96,0.425,-0.04,-0.017,Southwest_Monsoon
2007,8,Andhra Pradesh,Bay of Bengal,27.32,1.371,0.24,0.11,Southwest_Monsoon
2007,8,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,26.2,2.03,0.1,0.129,Southwest_Monsoon
2007,8,Goa,Arabian Sea,27.16,1.945,0.06,0.087,Southwest_Monsoon
2007,8,Gujarat,Arabian Sea / Gulf region,25.98,1.819,0.41,-0.021,Southwest_Monsoon
2007,8,Karnataka,Arabian Sea,27.04,1.935,-0.0,0.163,Southwest_Monsoon
2007,8,Kerala,Arabian Sea,27.16,2.044,-0.16,-0.006,Southwest_Monsoon
2007,8,Lakshadweep,Arabian Sea / Lakshadweep Sea,27.91,0.449,0.38,0.047,Southwest_Monsoon
2007,8,Maharashtra,Arabian Sea,26.74,1.976,-0.0,0.05,Southwest_Monsoon
2007,8,Odisha,Bay of Bengal,26.77,1.65,0.02,0.055,Southwest_Monsoon
2007,8,Puducherry,Bay of Bengal,27.65,1.32,0.1,-0.017,Southwest_Monsoon
